Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
186,2022-10-01 00:31:00,true,110,50000.0,3.0555555555555554,40,package0,true,2,1.1666666666666667,00:22:20,00:31:00,8.666666666666666,-71.086885,42.37212699999988,-71.12392810591183,42.388292994269825,3618.90422837766
374,2022-10-01 01:02:20,true,110,50000.0,3.0555555555555554,40,package3990,true,2,1.5,01:00:40,01:02:20,1.6666666666666667,-71.11851899999998,42.37028199999989,-71.11994,42.37206899999988,334.30309742246055
402,2022-10-01 01:07:00,true,110,50000.0,3.0555555555555554,40,package7980,true,2,1.8333333333333333,01:01:00,01:07:00,6.0,-71.119396,42.37309199999988,-71.113837,42.37768999999988,697.2612427192129
1277,2022-10-01 03:32:50,true,110,50000.0,3.0555555555555554,40,package3,true,2,1.0,03:30:10,03:32:50,2.6666666666666665,-71.109872,42.36911099999988,-71.11631324605207,42.37241865360796,680.1697271962696
1634,2022-10-01 04:32:20,true,110,50000.0,3.0555555555555554,40,package3993,true,2,1.5,04:29:40,04:32:20,2.6666666666666665,-71.120337,42.389246999999884,-71.12309320793717,42.38225684188844,894.3116133152822
1749,2022-10-01 04:51:30,true,110,50000.0,3.0555555555555554,40,package7983,true,2,2.3333333333333335,04:48:30,04:51:30,3.0,-71.102333,42.36434299999986,-71.10748925917198,42.357586756743466,996.4663731791588
1784,2022-10-01 04:57:20,true,110,50000.0,3.0555555555555554,40,package6,false,0,0.0,nil,04:57:20,297.3333333333333,-71.075326,42.368018999999876,-71.10507469089406,42.36266151562827,0.0
1814,2022-10-01 05:02:20,true,110,50000.0,3.0555555555555554,40,package3996,false,0,0.0,nil,05:02:20,302.3333333333333,-71.116945,42.37270799999988,-71.08187540803797,42.372206568575464,0.0
1850,2022-10-01 05:08:20,true,110,50000.0,3.0555555555555554,40,package7986,false,0,0.0,nil,05:08:20,308.3333333333333,-71.121151,42.37418899999989,-71.1108903,42.35920989999988,0.0
1939,2022-10-01 05:23:10,true,110,50000.0,3.0555555555555554,40,package9,true,2,1.1666666666666667,05:21:20,05:23:10,1.8333333333333333,-71.095093,42.37315399999987,-71.09801169746027,42.37073626287468,362.15774610538637
1964,2022-10-01 05:27:20,true,110,50000.0,3.0555555555555554,40,package3999,true,2,2.1666666666666665,05:25:20,05:27:20,2.0,-71.09047,42.36164899999987,-71.0876848536742,42.36321885202476,353.4780973971622
1990,2022-10-01 05:31:40,true,110,50000.0,3.0555555555555554,40,package7989,true,2,1.3333333333333333,05:29:30,05:31:40,2.1666666666666665,-71.095093,42.37315399999987,-71.09937807321928,42.37015937794567,485.5236758664254
2007,2022-10-01 05:34:30,true,110,50000.0,3.0555555555555554,40,package12,true,2,2.1666666666666665,05:32:20,05:34:30,2.1666666666666665,-71.09047,42.36164899999987,-71.08743,42.360622999999876,550.4997670551901
2020,2022-10-01 05:36:40,true,110,50000.0,3.0555555555555554,40,package4002,true,2,0.8333333333333334,05:35:00,05:36:40,1.6666666666666667,-71.116945,42.37270799999988,-71.11631324605207,42.37241865360796,153.83149903658457
2030,2022-10-01 05:38:20,true,110,50000.0,3.0555555555555554,40,package15,false,0,0.0,nil,05:38:20,338.3333333333333,-71.095093,42.37315399999987,-71.08906396371064,42.368771159593265,0.0
2030,2022-10-01 05:38:20,true,110,50000.0,3.0555555555555554,40,package4005,false,0,0.0,nil,05:38:20,338.3333333333333,-71.09047,42.36164899999987,-71.082562,42.365951999999865,0.0
2030,2022-10-01 05:38:20,true,110,50000.0,3.0555555555555554,40,package7995,false,0,0.0,nil,05:38:20,338.3333333333333,-71.09047,42.36164899999987,-71.082562,42.365951999999865,0.0
2044,2022-10-01 05:40:40,true,110,50000.0,3.0555555555555554,40,package7992,true,2,1.3333333333333333,05:37:30,05:40:40,3.1666666666666665,-71.095093,42.37315399999987,-71.10712890649259,42.369591906262954,1087.1274562620902
2097,2022-10-01 05:49:30,true,110,50000.0,3.0555555555555554,40,package4008,true,2,1.5,05:46:40,05:49:30,2.8333333333333335,-71.095093,42.37315399999987,-71.0961805615228,42.36580942545719,839.31185934885
2102,2022-10-01 05:50:20,true,110,50000.0,3.0555555555555554,40,package18,true,2,2.1666666666666665,05:46:20,05:50:20,4.0,-71.09047,42.36164899999987,-71.09384525746042,42.35731286087455,1003.3899103554137
2102,2022-10-01 05:50:20,true,110,50000.0,3.0555555555555554,40,package7998,false,0,0.0,nil,05:50:20,350.3333333333333,-71.096228,42.36132899999988,-71.09995580788264,42.36284920658887,0.0
2114,2022-10-01 05:52:20,true,110,50000.0,3.0555555555555554,40,package24,false,0,0.0,nil,05:52:20,352.3333333333333,-71.09047,42.36164899999987,-71.08403299999998,42.36430499999988,0.0
